age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
27,unknown,single,university.degree,no,yes,no,cellular,jun,wed,665,4,3,2,success,-1.7,94.055,-39.8,0.767,4991.6,yes
19,student,single,basic.4y,no,yes,no,cellular,sep,wed,396,2,6,3,success,-1.1,94.199,-37.5,0.876,4963.6,yes
32,admin.,married,university.degree,no,yes,no,cellular,aug,fri,1366,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
35,self-employed,single,university.degree,no,yes,no,cellular,jul,wed,2122,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,yes
36,admin.,married,university.degree,no,yes,no,cellular,apr,thu,970,1,999,1,failure,-1.8,93.075,-47.1,1.365,5099.1,yes
34,admin.,divorced,high.school,no,no,no,cellular,nov,tue,492,2,6,3,success,-3.4,92.649,-30.1,0.716,5017.5,no
23,student,single,basic.4y,no,yes,no,cellular,apr,wed,1372,4,999,0,nonexistent,-1.8,93.075,-47.1,1.415,5099.1,no
44,admin.,married,university.degree,no,yes,no,telephone,oct,wed,749,1,999,0,nonexistent,-3.4,92.431,-26.9,0.735,5017.5,yes
49,blue-collar,married,basic.6y,no,yes,no,telephone,may,fri,1980,2,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,yes
39,technician,divorced,high.school,no,no,no,cellular,mar,mon,174,1,3,1,success,-1.8,93.369,-34.8,0.639,5008.7,yes
18,student,single,unknown,no,yes,no,cellular,sep,fri,563,1,999,0,nonexistent,-3.4,92.379,-29.8,0.803,5017.5,yes
50,blue-collar,divorced,professional.course,no,yes,no,cellular,nov,mon,742,1,999,0,nonexistent,-1.1,94.767,-50.8,1.05,4963.6,yes
42,management,married,university.degree,no,no,no,telephone,may,tue,1677,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,yes
37,technician,single,university.degree,unknown,no,yes,cellular,aug,mon,1559,5,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
29,services,married,basic.9y,no,yes,no,cellular,jul,fri,1389,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
51,services,married,basic.6y,no,no,no,telephone,may,fri,1340,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,yes
30,admin.,married,university.degree,no,unknown,unknown,cellular,mar,mon,291,3,8,1,success,-1.8,92.843,-50.0,1.629,5099.1,no
36,admin.,divorced,high.school,no,no,no,cellular,jul,wed,1960,3,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,yes
34,admin.,single,university.degree,no,no,no,cellular,mar,tue,241,1,6,1,success,-1.8,93.369,-34.8,0.652,5008.7,yes
42,admin.,single,university.degree,no,no,no,cellular,aug,mon,1013,3,999,0,nonexistent,-1.7,94.027,-38.3,0.898,4991.6,no
47,admin.,married,unknown,no,no,yes,cellular,apr,wed,764,2,999,0,nonexistent,-1.8,93.075,-47.1,1.445,5099.1,no
55,management,married,university.degree,no,yes,no,cellular,apr,fri,949,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,yes
57,blue-collar,married,basic.9y,no,no,no,cellular,mar,fri,698,1,999,0,nonexistent,-1.8,93.369,-34.8,0.636,5008.7,no
32,technician,single,professional.course,no,no,no,cellular,may,thu,1060,2,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,yes
55,admin.,married,basic.4y,unknown,no,no,telephone,jun,fri,1469,9,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,yes
32,admin.,single,university.degree,no,no,no,cellular,jul,tue,527,1,999,0,nonexistent,-1.7,94.215,-40.3,0.893,4991.6,yes
92,retired,married,unknown,no,no,yes,cellular,aug,wed,370,1,3,4,success,-1.7,94.027,-38.3,0.903,4991.6,yes
24,student,single,unknown,no,yes,yes,telephone,sep,wed,663,1,10,1,success,-1.1,94.199,-37.5,0.886,4963.6,no
28,services,single,basic.6y,no,no,no,cellular,jun,wed,385,2,4,1,success,-2.9,92.963,-40.8,1.26,5076.2,yes
50,admin.,married,university.degree,no,yes,no,cellular,aug,wed,1149,5,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,yes
40,entrepreneur,married,basic.6y,no,no,no,cellular,jun,wed,837,1,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,yes
31,student,single,unknown,no,unknown,unknown,cellular,sep,wed,708,2,6,2,success,-1.1,94.199,-37.5,0.88,4963.6,yes
31,blue-collar,married,unknown,unknown,no,no,cellular,jul,tue,1608,13,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,yes
59,retired,married,professional.course,no,yes,no,cellular,aug,fri,303,2,3,2,success,-1.7,94.027,-38.3,0.905,4991.6,yes
33,admin.,single,high.school,no,yes,no,cellular,aug,fri,1088,3,999,0,nonexistent,-2.9,92.201,-31.4,0.881,5076.2,yes
57,retired,divorced,basic.9y,no,no,no,cellular,jul,fri,897,3,999,0,nonexistent,-2.9,92.469,-33.6,1.059,5076.2,no
62,retired,married,basic.4y,no,no,no,cellular,aug,mon,317,1,9,2,failure,-1.7,94.027,-38.3,0.898,4991.6,yes
27,admin.,single,university.degree,no,no,no,cellular,apr,tue,317,1,12,1,success,-1.8,93.749,-34.6,0.638,5008.7,yes
32,admin.,married,university.degree,no,no,yes,telephone,may,fri,1692,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,yes
47,admin.,single,basic.9y,no,yes,yes,cellular,jul,thu,392,2,6,1,success,-1.7,94.215,-40.3,0.846,4991.6,yes
62,retired,married,professional.course,no,yes,no,cellular,aug,tue,531,3,6,1,success,-2.9,92.201,-31.4,0.838,5076.2,yes
56,technician,married,basic.4y,no,no,no,cellular,oct,thu,306,3,3,1,success,-3.4,92.431,-26.9,0.733,5017.5,yes
60,admin.,married,university.degree,no,yes,no,cellular,jun,mon,324,3,3,1,success,-2.9,92.963,-40.8,1.266,5076.2,yes
32,admin.,single,professional.course,no,no,no,cellular,may,thu,1145,1,999,1,failure,-1.8,92.893,-46.2,1.327,5099.1,no
31,admin.,married,basic.9y,no,yes,no,cellular,nov,wed,1662,3,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no
34,technician,single,unknown,no,yes,no,cellular,aug,thu,320,2,3,1,success,-2.9,92.201,-31.4,0.851,5076.2,yes
39,blue-collar,married,basic.9y,no,yes,no,cellular,sep,mon,791,3,999,0,nonexistent,-1.1,94.199,-37.5,0.882,4963.6,no
66,retired,married,professional.course,no,no,no,cellular,mar,tue,328,1,999,0,nonexistent,-1.8,93.369,-34.8,0.655,5008.7,no
24,services,single,high.school,no,unknown,unknown,telephone,may,wed,1307,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,no
42,housemaid,married,university.degree,no,yes,yes,cellular,aug,thu,2372,3,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,yes
42,blue-collar,married,basic.4y,no,no,no,cellular,apr,wed,1217,3,999,0,nonexistent,-1.8,93.075,-47.1,1.415,5099.1,yes
29,student,single,high.school,no,yes,yes,cellular,nov,thu,289,1,3,3,success,-1.1,94.767,-50.8,1.05,4963.6,yes
35,technician,single,professional.course,no,no,no,cellular,jul,mon,562,4,999,0,nonexistent,-1.7,94.215,-40.3,0.827,4991.6,yes
74,retired,married,basic.4y,unknown,yes,no,cellular,aug,mon,467,2,6,1,success,-2.9,92.201,-31.4,0.843,5076.2,yes
26,admin.,single,university.degree,no,yes,no,cellular,jul,tue,1287,5,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
43,self-employed,married,university.degree,no,yes,no,cellular,mar,mon,264,2,9,1,success,-1.8,93.369,-34.8,0.652,5008.7,yes
37,technician,married,high.school,no,yes,no,cellular,jul,wed,1339,3,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no
34,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,1622,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,yes
30,unemployed,single,high.school,no,yes,yes,cellular,oct,wed,953,1,999,0,nonexistent,-3.4,92.431,-26.9,0.74,5017.5,no
85,retired,single,professional.course,no,no,no,cellular,mar,fri,116,7,7,2,success,-1.8,93.369,-34.8,0.653,5008.7,no
78,retired,divorced,professional.course,no,yes,no,cellular,mar,tue,591,1,999,1,failure,-1.8,93.369,-34.8,0.655,5008.7,yes
36,admin.,married,high.school,unknown,yes,no,cellular,may,mon,1434,2,999,1,failure,-1.8,92.893,-46.2,1.244,5099.1,no
50,admin.,married,university.degree,no,unknown,unknown,cellular,may,wed,801,1,999,1,failure,-1.8,93.876,-40.0,0.682,5008.7,no
32,admin.,married,university.degree,no,no,no,cellular,may,thu,1030,1,6,1,success,-1.8,92.893,-46.2,1.327,5099.1,yes
91,retired,married,university.degree,no,yes,yes,cellular,sep,wed,837,1,999,2,failure,-3.4,92.379,-29.8,0.781,5017.5,no
29,services,married,professional.course,unknown,yes,no,cellular,aug,tue,2089,6,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,yes
34,blue-collar,married,basic.9y,no,yes,no,cellular,jul,tue,1412,4,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
47,services,single,unknown,no,unknown,unknown,cellular,mar,thu,394,2,999,0,nonexistent,-1.8,93.369,-34.8,0.643,5008.7,no
22,student,single,high.school,no,yes,yes,cellular,may,mon,1370,3,999,0,nonexistent,-1.8,92.893,-46.2,1.354,5099.1,yes
34,technician,married,professional.course,no,yes,no,cellular,oct,wed,442,2,8,1,success,-3.4,92.431,-26.9,0.735,5017.5,yes
23,student,single,professional.course,no,yes,no,cellular,sep,wed,316,1,8,2,success,-1.1,94.199,-37.5,0.876,4963.6,yes
81,retired,married,basic.4y,no,yes,no,cellular,oct,wed,621,1,999,2,failure,-1.1,94.601,-49.5,1.016,4963.6,yes
